ESTACION,fecha,CLOROF_A,OD_mg/L_FON,P_TOT,TEMP_AGUA_FON
"LAGO DE CHAPALA, ESTACION LACUSTRE 10",20/04/2015,0.2933,,0.6468,23.5
"LAGO DE CHAPALA, ESTACION LACUSTRE 10",18/08/2015,18.3008,6.74,0.820567,25.6
"LAGO DE CHAPALA, ESTACION LACUSTRE 10",10/06/2016,0.001,,0.516058,
"LAGO DE CHAPALA, ESTACION LACUSTRE 10",07/10/2016,5.582,,0.580495,
"LAGO DE CHAPALA, ESTACION LACUSTRE 10",05/05/2017,0.001,,0.222757,
"LAGO DE CHAPALA, ESTACION LACUSTRE 10",28/08/2017,0.001,,0.486257,
"LAGO DE CHAPALA, ESTACION LACUSTRE 10",08/02/2018,0.001,,0.482978,
"LAGO DE CHAPALA, ESTACION LACUSTRE 10",29/07/2018,0.001,,0.495183,
"LAGO DE CHAPALA, ESTACION LACUSTRE 10",01/11/2018,0.001,6.8,0.514326,21.9
"LAGO DE CHAPALA, ESTACION LACUSTRE 10",21/02/2019,0.001,7.05,0.414102,18.8
"LAGO DE CHAPALA, ESTACION LACUSTRE 10",18/08/2020,5.0336,6.48,0.36789,24.7
"LAGO DE CHAPALA, ESTACION LACUSTRE 10",13/10/2021,8.236,6.3,0.441357,24.9
"LAGO DE CHAPALA, LITORAL I",31/08/2022,,7,,26
"LAGO DE CHAPALA, LITORAL I",22/11/2012,0.001,,0.001,
"LAGO DE CHAPALA, LITORAL I",17/03/2013,0.001,,0.0306,18.57
"LAGO DE CHAPALA, LITORAL I",08/07/2013,,,0.0222,23.1
"LAGO DE CHAPALA, LITORAL I",17/07/2014,5.88,6.7,0.619,26.9
"LAGO DE CHAPALA, LITORAL I",19/08/2014,26.06,6.8,0.65,27.8
"LAGO DE CHAPALA, LITORAL I",20/04/2015,0.7686,5.15,0.5689,24.1
"LAGO DE CHAPALA, LITORAL I",19/08/2015,9.7012,7.08,0.741228,27.1
"LAGO DE CHAPALA, LITORAL I",10/06/2016,6.3,,0.52201,
"LAGO DE CHAPALA, LITORAL I",07/10/2016,7.11,,0.5764,
"LAGO DE CHAPALA, LITORAL I",05/05/2017,0.001,,0.542712,
"LAGO DE CHAPALA, LITORAL I",28/08/2017,3.318,,0.610016,
"LAGO DE CHAPALA, LITORAL I",08/02/2018,0.001,,0.412188,
"LAGO DE CHAPALA, LITORAL I",27/07/2018,0.4092,,0.503498,
"LAGO DE CHAPALA, LITORAL I",31/10/2018,3.318,,0.482718,
"LAGO DE CHAPALA, LITORAL I",20/02/2019,0.001,6.97,0.379179,21.2
"LAGO DE CHAPALA, LITORAL I",21/08/2020,6.3184,6.76,0.586706,23.9
"LAGO DE CHAPALA, LITORAL I",13/10/2021,10.132,7.4,0.437859,24.9
"LAGO DE CHAPALA, ESTACION LACUSTRE 17",01/09/2022,,5.62,,25
"LAGO DE CHAPALA, ESTACION LACUSTRE 17",21/11/2012,0.001,8.89,0.001,
"LAGO DE CHAPALA, ESTACION LACUSTRE 17",16/03/2013,0.001,,0.0309,18.91
"LAGO DE CHAPALA, ESTACION LACUSTRE 17",08/07/2013,,,0.0278,
"LAGO DE CHAPALA, ESTACION LACUSTRE 17",17/07/2014,8.21,6,0.731,25.4
"LAGO DE CHAPALA, ESTACION LACUSTRE 17",19/08/2014,43.32,6.8,1.105,26.8
"LAGO DE CHAPALA, ESTACION LACUSTRE 17",20/04/2015,0.8191,,0.5589,23
"LAGO DE CHAPALA, ESTACION LACUSTRE 17",19/08/2015,11.1848,7.06,1.027176,26.1
"LAGO DE CHAPALA, ESTACION LACUSTRE 17",10/06/2016,1.422,,0.461061,
"LAGO DE CHAPALA, ESTACION LACUSTRE 17",05/10/2016,0.001,,1.121935,
"LAGO DE CHAPALA, ESTACION LACUSTRE 17",05/05/2017,0.6317,,0.555627,
"LAGO DE CHAPALA, ESTACION LACUSTRE 17",28/08/2017,0.001,,0.535844,
"LAGO DE CHAPALA, ESTACION LACUSTRE 17",08/02/2018,0.001,,0.484521,
"LAGO DE CHAPALA, ESTACION LACUSTRE 17",29/07/2018,0.001,2.9,0.471184,24.3
"LAGO DE CHAPALA, ESTACION LACUSTRE 17",31/10/2018,5.1524,8.5,0.487707,24.8
"LAGO DE CHAPALA, ESTACION LACUSTRE 17",20/02/2019,0.001,7.43,0.423272,20.7
"LAGO DE CHAPALA, ESTACION LACUSTRE 17",21/08/2020,5.974,7.44,0.575984,23.5
"LAGO DE CHAPALA, ESTACION LACUSTRE 17",12/10/2021,7.3528,6.6,0.428447,23.5
"LAGO DE CHAPALA, ESTACION LACUSTRE 16",30/08/2022,,8.02,,27
"LAGO DE CHAPALA, ESTACION LACUSTRE 16",21/11/2012,0.001,9.4,0.428,
"LAGO DE CHAPALA, ESTACION LACUSTRE 16",16/03/2013,0.001,,0.0339,17.05
"LAGO DE CHAPALA, ESTACION LACUSTRE 16",08/07/2013,,,0.0585,23.2
"LAGO DE CHAPALA, ESTACION LACUSTRE 16",17/07/2014,6.94,5.9,0.785,24.4
"LAGO DE CHAPALA, ESTACION LACUSTRE 16",19/08/2014,32.14,6.9,0.756,25.2
"LAGO DE CHAPALA, ESTACION LACUSTRE 16",20/04/2015,0.665,4.83,0.5711,22.9
"LAGO DE CHAPALA, ESTACION LACUSTRE 16",18/08/2015,25.8708,6.5,1.311691,24
"LAGO DE CHAPALA, ESTACION LACUSTRE 16",09/06/2016,3.555,,0.588928,
"LAGO DE CHAPALA, ESTACION LACUSTRE 16",05/10/2016,0.001,,0.642962,
"LAGO DE CHAPALA, ESTACION LACUSTRE 16",03/05/2017,3.1239,,0.858203,
"LAGO DE CHAPALA, ESTACION LACUSTRE 16",04/09/2017,0.001,,0.582371,
"LAGO DE CHAPALA, ESTACION LACUSTRE 16",07/02/2018,2.6528,,0.268263,
"LAGO DE CHAPALA, ESTACION LACUSTRE 16",27/07/2018,0.001,2.6,0.492569,24.5
"LAGO DE CHAPALA, ESTACION LACUSTRE 16",31/10/2018,11.9512,8,0.450049,22.9
"LAGO DE CHAPALA, ESTACION LACUSTRE 16",20/02/2019,0.001,7.2,0.36996,19.8
"LAGO DE CHAPALA, ESTACION LACUSTRE 16",21/08/2020,4.2044,7.71,0.629611,23.5
"LAGO DE CHAPALA, ESTACION LACUSTRE 16",12/10/2021,9.5836,5.3,0.485504,23.8
"LAGO DE CHAPALA, ESTACION LACUSTRE 20",21/11/2012,0.001,9.1,0.001,
"LAGO DE CHAPALA, ESTACION LACUSTRE 20",16/03/2013,0.001,,0.0327,17.44
"LAGO DE CHAPALA, ESTACION LACUSTRE 20",08/07/2013,,,0.047,23.5
"LAGO DE CHAPALA, ESTACION LACUSTRE 20",17/07/2014,10.61,7,0.901,24.1
"LAGO DE CHAPALA, ESTACION LACUSTRE 20",19/08/2014,23.59,7.7,0.755,24.3
"LAGO DE CHAPALA, ESTACION LACUSTRE 20",20/04/2015,0.4235,6.85,0.5315,22.6
"LAGO DE CHAPALA, ESTACION LACUSTRE 20",18/08/2015,20.0672,7.32,0.928442,24.2
"LAGO DE CHAPALA, ESTACION LACUSTRE 20",09/06/2016,0.001,6.2,0.615702,23.7
"LAGO DE CHAPALA, ESTACION LACUSTRE 20",05/10/2016,0.001,,0.735655,
"LAGO DE CHAPALA, ESTACION LACUSTRE 20",03/05/2017,1.823,,0.556915,
"LAGO DE CHAPALA, ESTACION LACUSTRE 20",04/09/2017,0.001,,0.593395,
"LAGO DE CHAPALA, ESTACION LACUSTRE 20",07/02/2018,5.3672,5,0.511025,17.4
"LAGO DE CHAPALA, ESTACION LACUSTRE 20",27/07/2018,0.474,3.2,0.554666,23.6
"LAGO DE CHAPALA, ESTACION LACUSTRE 20",31/10/2018,1.896,7.3,0.482418,21.2
"LAGO DE CHAPALA, ESTACION LACUSTRE 20",20/02/2019,0.001,7.2,0.478166,19.8
"LAGO DE CHAPALA, ESTACION LACUSTRE 20",20/08/2020,3.6008,6.69,0.442452,23.6
"LAGO DE CHAPALA, ESTACION LACUSTRE 20",12/10/2021,5.58,6.2,0.482069,23.8
"LAGO DE CHAPALA, ESTACION LACUSTRE 21",30/08/2022,,7.15,,24
"LAGO DE CHAPALA, ESTACION LACUSTRE 21",21/11/2012,0.001,9.84,0.001,
"LAGO DE CHAPALA, ESTACION LACUSTRE 21",16/03/2013,0.001,,0.0669,17.17
"LAGO DE CHAPALA, ESTACION LACUSTRE 21",08/07/2013,,,0.0247,23.3
"LAGO DE CHAPALA, ESTACION LACUSTRE 21",17/07/2014,8.18,7.7,0.865,23.5
"LAGO DE CHAPALA, ESTACION LACUSTRE 21",19/08/2014,18.82,6.9,0.789,23.8
"LAGO DE CHAPALA, ESTACION LACUSTRE 21",20/04/2015,0.001,6.36,0.5816,21.9
"LAGO DE CHAPALA, ESTACION LACUSTRE 21",18/08/2015,21.5336,7.04,0.756218,23
"LAGO DE CHAPALA, ESTACION LACUSTRE 21",09/06/2016,0.001,6.2,0.57647,23.9
"LAGO DE CHAPALA, ESTACION LACUSTRE 21",05/10/2016,0.001,,0.625075,
"LAGO DE CHAPALA, ESTACION LACUSTRE 21",03/05/2017,4.384,,0.728335,
"LAGO DE CHAPALA, ESTACION LACUSTRE 21",04/09/2017,0.001,6,0.523283,23
"LAGO DE CHAPALA, ESTACION LACUSTRE 21",07/02/2018,0.001,5,0.635016,17
"LAGO DE CHAPALA, ESTACION LACUSTRE 21",27/07/2018,0.4092,3.5,0.51482,23.9
"LAGO DE CHAPALA, ESTACION LACUSTRE 21",31/10/2018,0.948,6.9,0.506874,20.9
"LAGO DE CHAPALA, ESTACION LACUSTRE 21",20/02/2019,0.001,7.2,0.487469,19.7
"LAGO DE CHAPALA, ESTACION LACUSTRE 21",20/08/2020,2.2436,6.69,0.433482,23
"LAGO DE CHAPALA, ESTACION LACUSTRE 21",12/10/2021,4.1472,5.6,0.4851,22.5
"LAGO DE CHAPALA, ESTACION LACUSTRE 28",30/08/2022,,6.46,,23
"LAGO DE CHAPALA, ESTACION LACUSTRE 28",21/11/2012,0.001,9.5,0.001,
"LAGO DE CHAPALA, ESTACION LACUSTRE 28",16/03/2013,0.001,,0.0318,17.12
"LAGO DE CHAPALA, ESTACION LACUSTRE 28",08/07/2013,,,0.0265,22.8
"LAGO DE CHAPALA, ESTACION LACUSTRE 28",19/08/2014,18.82,6.9,0.789,23.8
"LAGO DE CHAPALA, ESTACION LACUSTRE 28",17/10/2014,8.18,7.7,0.865,23.5
"LAGO DE CHAPALA, ESTACION LACUSTRE 28",29/06/2015,3.792,6.52,0.73881,24.2
"LAGO DE CHAPALA, ESTACION LACUSTRE 28",18/10/2015,12.436,6.55,0.96508,21.7
"LAGO DE CHAPALA, ESTACION LACUSTRE 28",08/06/2016,16.309,6.1,0.630986,24.3
"LAGO DE CHAPALA, ESTACION LACUSTRE 28",04/10/2016,7.41,6.4,0.631162,23.9
"LAGO DE CHAPALA, ESTACION LACUSTRE 28",07/05/2017,0.001,,0.725765,
"LAGO DE CHAPALA, ESTACION LACUSTRE 28",06/09/2017,0.001,4.2,0.603463,22.3
"LAGO DE CHAPALA, ESTACION LACUSTRE 28",09/02/2018,1.2276,,0.513744,
"LAGO DE CHAPALA, ESTACION LACUSTRE 28",24/07/2018,0.001,2.4,0.572879,26.4
"LAGO DE CHAPALA, ESTACION LACUSTRE 28",30/10/2018,2.844,5.5,0.453134,23.7
"LAGO DE CHAPALA, ESTACION LACUSTRE 28",19/02/2019,0.001,7.61,0.499127,20.6
"LAGO DE CHAPALA, ESTACION LACUSTRE 28",17/08/2020,,6.49,0.433059,26.3
"LAGO DE CHAPALA, ESTACION LACUSTRE 28",15/10/2021,6.4696,6.8,0.400642,23.3
"LAGO DE CHAPALA, ESTACION LACUSTRE 22",29/08/2022,,6.83,,27
"LAGO DE CHAPALA, ESTACION LACUSTRE 22",21/11/2012,,6.84,0.686,
"LAGO DE CHAPALA, ESTACION LACUSTRE 22",09/03/2013,0.001,,0.0673,24
"LAGO DE CHAPALA, ESTACION LACUSTRE 22",09/07/2013,,,0.0283,22.7
"LAGO DE CHAPALA, ESTACION LACUSTRE 22",17/07/2014,2.6,5.7,0.778,23.2
"LAGO DE CHAPALA, ESTACION LACUSTRE 22",20/08/2014,8.01,5.8,0.748,23.5
"LAGO DE CHAPALA, ESTACION LACUSTRE 22",21/04/2015,0.6633,0.001,0.8193,22
"LAGO DE CHAPALA, ESTACION LACUSTRE 22",18/08/2015,12.828,6.83,0.779965,23
"LAGO DE CHAPALA, ESTACION LACUSTRE 22",09/06/2016,0.001,,0.625658,
"LAGO DE CHAPALA, ESTACION LACUSTRE 22",05/10/2016,0.001,,0.619919,
"LAGO DE CHAPALA, ESTACION LACUSTRE 22",03/05/2017,1.4297,,0.53488,
"LAGO DE CHAPALA, ESTACION LACUSTRE 22",04/09/2017,0.001,,0.624281,
"LAGO DE CHAPALA, ESTACION LACUSTRE 22",07/02/2018,0.948,,0.451769,
"LAGO DE CHAPALA, ESTACION LACUSTRE 22",27/07/2018,0.001,,0.54601,
"LAGO DE CHAPALA, ESTACION LACUSTRE 22",31/10/2018,0.001,6.4,0.578726,21.3
"LAGO DE CHAPALA, ESTACION LACUSTRE 22",20/02/2019,0.001,6.93,0.41577,19.8
"LAGO DE CHAPALA, ESTACION LACUSTRE 22",20/08/2020,1.8344,5.8,0.536533,22.6
"LAGO DE CHAPALA, ESTACION LACUSTRE 22",12/10/2021,3.5372,6.2,0.589145,22.8
LAGO DE CHAPALA ESTACION LACUSTRE 24,08/12/2012,2.1,6.52,0.6767,
LAGO DE CHAPALA ESTACION LACUSTRE 24,04/04/2013,48.6884,,0.7095,
LAGO DE CHAPALA ESTACION LACUSTRE 24,17/10/2013,9.002,,0.8258,23.5
LAGO DE CHAPALA ESTACION LACUSTRE 24,24/02/2014,28.39,5.69,0.799,20.7
LAGO DE CHAPALA ESTACION LACUSTRE 24,17/09/2014,36,5.6,0.719,22.1
LAGO DE CHAPALA ESTACION LACUSTRE 24,06/04/2015,0.001,5.65,0.744289,22.5
LAGO DE CHAPALA ESTACION LACUSTRE 24,12/10/2015,11.21,6.02,0.802167,23.1
LAGO DE CHAPALA ESTACION LACUSTRE 24,07/06/2016,0.001,,0.672934,
LAGO DE CHAPALA ESTACION LACUSTRE 24,03/10/2016,0.001,,0.70423,
LAGO DE CHAPALA ESTACION LACUSTRE 24,02/05/2017,6.7894,,0.557515,
LAGO DE CHAPALA ESTACION LACUSTRE 24,06/09/2017,0.001,,0.676697,
LAGO DE CHAPALA ESTACION LACUSTRE 24,11/02/2018,0.001,,0.600398,
LAGO DE CHAPALA ESTACION LACUSTRE 24,24/07/2018,0.001,,0.804298,
LAGO DE CHAPALA ESTACION LACUSTRE 24,30/10/2018,0.001,,0.611299,
LAGO DE CHAPALA ESTACION LACUSTRE 24,19/02/2019,18.166,7.61,0.40279,20.4
LAGO DE CHAPALA ESTACION LACUSTRE 24,17/08/2020,3.0588,6.33,0.602983,25
LAGO DE CHAPALA ESTACION LACUSTRE 25,29/08/2022,,5.55,,26
LAGO DE CHAPALA ESTACION LACUSTRE 25,02/12/2012,,6.84,0.1726,
LAGO DE CHAPALA ESTACION LACUSTRE 25,04/04/2013,25.8444,,0.7496,
LAGO DE CHAPALA ESTACION LACUSTRE 25,17/10/2013,4.424,,0.7939,
LAGO DE CHAPALA ESTACION LACUSTRE 25,24/02/2014,15.99,,0.826,
LAGO DE CHAPALA ESTACION LACUSTRE 25,17/09/2014,79.95,,0.727,
LAGO DE CHAPALA ESTACION LACUSTRE 25,06/04/2015,,,0.749623,
LAGO DE CHAPALA ESTACION LACUSTRE 25,12/10/2015,14.441,3.52,0.6934,23.2
LAGO DE CHAPALA ESTACION LACUSTRE 25,07/06/2016,0.001,,0.730175,
LAGO DE CHAPALA ESTACION LACUSTRE 25,03/10/2016,0.001,,0.836306,
LAGO DE CHAPALA ESTACION LACUSTRE 25,02/05/2017,0.001,,0.589473,
LAGO DE CHAPALA ESTACION LACUSTRE 25,06/09/2017,0.001,,0.877931,
LAGO DE CHAPALA ESTACION LACUSTRE 25,11/02/2018,1.6368,,0.519714,
LAGO DE CHAPALA ESTACION LACUSTRE 25,24/07/2018,0.474,,0.777157,
LAGO DE CHAPALA ESTACION LACUSTRE 25,30/10/2018,1.896,,0.796484,
LAGO DE CHAPALA ESTACION LACUSTRE 25,19/02/2019,14.611,7.33,0.50402,20.3
LAGO DE CHAPALA ESTACION LACUSTRE 25,17/08/2020,2.9972,,0.450679,
LAGO DE CHAPALA ESTACION LACUSTRE 25,15/10/2021,9.266,,1.010571,23.1
LAGO DE CHAPALA ESTACION LACUSTRE 26,29/08/2022,,,,
LAGO DE CHAPALA ESTACION LACUSTRE 26,02/12/2012,,6.86,0.5102,
LAGO DE CHAPALA ESTACION LACUSTRE 26,04/04/2013,155.142,,0.6024,
LAGO DE CHAPALA ESTACION LACUSTRE 26,17/10/2013,6.794,,0.8774,
LAGO DE CHAPALA ESTACION LACUSTRE 26,24/02/2014,24.67,,0.751,
LAGO DE CHAPALA ESTACION LACUSTRE 26,17/09/2014,75.73,,0.703,
LAGO DE CHAPALA ESTACION LACUSTRE 26,06/04/2015,0.001,6.32,0.772789,24.3
LAGO DE CHAPALA ESTACION LACUSTRE 26,12/10/2015,74.532,5.44,0.6298,23.9
LAGO DE CHAPALA ESTACION LACUSTRE 26,07/06/2016,0.001,,0.70143,
LAGO DE CHAPALA ESTACION LACUSTRE 26,03/10/2016,0.001,,0.524799,
LAGO DE CHAPALA ESTACION LACUSTRE 26,02/05/2017,3.9746,,0.604048,
LAGO DE CHAPALA ESTACION LACUSTRE 26,06/09/2017,0.001,,0.211912,
LAGO DE CHAPALA ESTACION LACUSTRE 26,11/02/2018,0.001,,0.588108,
LAGO DE CHAPALA ESTACION LACUSTRE 26,24/07/2018,0.001,2,0.558491,24.8
LAGO DE CHAPALA ESTACION LACUSTRE 26,30/10/2018,1.422,5.4,0.507177,22.1
LAGO DE CHAPALA ESTACION LACUSTRE 26,19/02/2019,6.6833,7.3,0.4508,20.2
LAGO DE CHAPALA ESTACION LACUSTRE 26,17/08/2020,3.468,,0.169677,
LAGO DE CHAPALA ESTACION LACUSTRE 26,15/10/2021,6.8756,6.3,2.467483,22.3
"LAGO DE CHAPALA, ESTACION LACUSTRE 27",29/08/2022,,,,
"LAGO DE CHAPALA, ESTACION LACUSTRE 27",22/11/2012,0.001,8.5,1.149,
